question,intent,tables,columns,filters,joins,group_by,order_by,notes,raw_json
Count customers per country,Count,"[""customers""]","[""country""]",[],[],"[""country""]",[],Assuming 'customers' table contains a 'country' column.,"{""intent"": ""Count"", ""tables"": [""customers""], ""columns"": [""country""], ""filters"": [], ""joins"": [], ""group_by"": [""country""], ""order_by"": [], ""notes"": ""Assuming 'customers' table contains a 'country' column.""}"
Total payments per customer,Calculate,"[""payments"", ""customers""]","[""customer_id"", ""total_payment""]",[],"[""payments.customer_id = customers.id""]","[""customer_id""]",[],Assuming 'payments' table contains payment records and 'customers' table contains customer details.,"{""intent"": ""Calculate"", ""tables"": [""payments"", ""customers""], ""columns"": [""customer_id"", ""total_payment""], ""filters"": [], ""joins"": [""payments.customer_id = customers.id""], ""group_by"": [""customer_id""], ""order_by"": [], ""notes"": ""Assuming 'payments' table contains payment records and 'customers' table contains customer details.""}"
Number of orders per status,Count,"[""orders""]","[""status""]",[],[],"[""status""]",[],Assuming 'orders' is the table containing order data and 'status' is a column representing the order status.,"{""intent"": ""Count"", ""tables"": [""orders""], ""columns"": [""status""], ""filters"": [], ""joins"": [], ""group_by"": [""status""], ""order_by"": [], ""notes"": ""Assuming 'orders' is the table containing order data and 'status' is a column representing the order status.""}"
Products per product line,Count,"[""products""]","[""product_line""]",[],[],"[""product_line""]",[],Assuming we want to count the number of products in each product line.,"{""intent"": ""Count"", ""tables"": [""products""], ""columns"": [""product_line""], ""filters"": [], ""joins"": [], ""group_by"": [""product_line""], ""order_by"": [], ""notes"": ""Assuming we want to count the number of products in each product line.""}"
Employees per office,Count,"[""employees""]","[""office_id""]",[],[],"[""office_id""]",[],Assuming 'employees' table contains an 'office_id' column to group by offices.,"{""intent"": ""Count"", ""tables"": [""employees""], ""columns"": [""office_id""], ""filters"": [], ""joins"": [], ""group_by"": [""office_id""], ""order_by"": [], ""notes"": ""Assuming 'employees' table contains an 'office_id' column to group by offices.""}"
Total stock per product vendor,Calculate,"[""products"", ""vendors""]","[""vendor_id"", ""total_stock""]",[],"[""products.vendor_id = vendors.id""]","[""vendor_id""]",[],Assuming total_stock is a calculated field summing stock quantities from the products table.,"{""intent"": ""Calculate"", ""tables"": [""products"", ""vendors""], ""columns"": [""vendor_id"", ""total_stock""], ""filters"": [], ""joins"": [""products.vendor_id = vendors.id""], ""group_by"": [""vendor_id""], ""order_by"": [], ""notes"": ""Assuming total_stock is a calculated field summing stock quantities from the products table.""}"
Average buy price per product line,Calculate,"[""products""]","[""product_line"", ""buy_price""]",[],[],"[""product_line""]",[],Assuming 'buy_price' is the price of products and 'product_line' categorizes them.,"{""intent"": ""Calculate"", ""tables"": [""products""], ""columns"": [""product_line"", ""buy_price""], ""filters"": [], ""joins"": [], ""group_by"": [""product_line""], ""order_by"": [], ""notes"": ""Assuming 'buy_price' is the price of products and 'product_line' categorizes them.""}"
Orders per customer,Count,"[""orders""]","[""customer_id""]",[],[],"[""customer_id""]",[],Assuming 'orders' table contains a 'customer_id' column to group by.,"{""intent"": ""Count"", ""tables"": [""orders""], ""columns"": [""customer_id""], ""filters"": [], ""joins"": [], ""group_by"": [""customer_id""], ""order_by"": [], ""notes"": ""Assuming 'orders' table contains a 'customer_id' column to group by.""}"
Max MSRP per product line,Calculate,"[""products""]","[""msrp"", ""product_line""]",[],[],"[""product_line""]","[""msrp DESC""]",Assuming 'msrp' refers to the maximum Manufacturer's Suggested Retail Price for each product line.,"{""intent"": ""Calculate"", ""tables"": [""products""], ""columns"": [""msrp"", ""product_line""], ""filters"": [], ""joins"": [], ""group_by"": [""product_line""], ""order_by"": [""msrp DESC""], ""notes"": ""Assuming 'msrp' refers to the maximum Manufacturer's Suggested Retail Price for each product line.""}"
Min buy price per vendor,Calculate,"[""vendors"", ""products""]","[""vendor_id"", ""min_buy_price""]",[],"[""vendors.vendor_id = products.vendor_id""]","[""vendor_id""]",[],Assuming 'min_buy_price' refers to the minimum price of products bought from each vendor.,"{""intent"": ""Calculate"", ""tables"": [""vendors"", ""products""], ""columns"": [""vendor_id"", ""min_buy_price""], ""filters"": [], ""joins"": [""vendors.vendor_id = products.vendor_id""], ""group_by"": [""vendor_id""], ""order_by"": [], ""notes"": ""Assuming 'min_buy_price' refers to the minimum price of products bought from each vendor.""}"
Total number of customers,Count,"[""customers""]",[],[],[],[],[],Assuming there is a table named 'customers' that contains customer records.,"{""intent"": ""Count"", ""tables"": [""customers""], ""columns"": [], ""filters"": [], ""joins"": [], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming there is a table named 'customers' that contains customer records.""}"
Total number of products,Count,"[""products""]",[],[],[],[],[],Assuming there is a table named 'products' that contains the product information.,"{""intent"": ""Count"", ""tables"": [""products""], ""columns"": [], ""filters"": [], ""joins"": [], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming there is a table named 'products' that contains the product information.""}"
Total revenue from payments,Calculate,"[""payments""]","[""total_revenue""]",[],[],[],[],Assuming 'total_revenue' is a calculated field based on payment amounts in the 'payments' table.,"{""intent"": ""Calculate"", ""tables"": [""payments""], ""columns"": [""total_revenue""], ""filters"": [], ""joins"": [], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming 'total_revenue' is a calculated field based on payment amounts in the 'payments' table.""}"
Average product price,Calculate,"[""products""]","[""price""]",[],[],[],[],Assuming 'price' is the column representing product prices in the 'products' table.,"{""intent"": ""Calculate"", ""tables"": [""products""], ""columns"": [""price""], ""filters"": [], ""joins"": [], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming 'price' is the column representing product prices in the 'products' table.""}"
Max payment amount,Calculate,"[""payments""]","[""amount""]",[],[],[],[],Assuming 'payments' is the table containing payment records and 'amount' is the column representing payment amounts.,"{""intent"": ""Calculate"", ""tables"": [""payments""], ""columns"": [""amount""], ""filters"": [], ""joins"": [], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming 'payments' is the table containing payment records and 'amount' is the column representing payment amounts.""}"
Min payment amount,Calculate,"[""payments""]","[""amount""]",[],[],[],[],Assuming the user wants to find the minimum payment amount from a 'payments' table.,"{""intent"": ""Calculate"", ""tables"": [""payments""], ""columns"": [""amount""], ""filters"": [], ""joins"": [], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming the user wants to find the minimum payment amount from a 'payments' table.""}"
Count total orders,Count,"[""orders""]","[""order_id""]",[],[],[],[],Assuming 'orders' is the table containing order records and 'order_id' is the primary key for counting total orders.,"{""intent"": ""Count"", ""tables"": [""orders""], ""columns"": [""order_id""], ""filters"": [], ""joins"": [], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming 'orders' is the table containing order records and 'order_id' is the primary key for counting total orders.""}"
Total quantity in stock,Calculate,"[""inventory""]","[""quantity""]",[],[],[],[],Assuming there is a table named 'inventory' with a column 'quantity' representing the stock quantity.,"{""intent"": ""Calculate"", ""tables"": [""inventory""], ""columns"": [""quantity""], ""filters"": [], ""joins"": [], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming there is a table named 'inventory' with a column 'quantity' representing the stock quantity.""}"
Average MSRP,Calculate,"[""products""]","[""msrp""]",[],[],[],[],Assuming MSRP refers to the Manufacturer's Suggested Retail Price in a products table.,"{""intent"": ""Calculate"", ""tables"": [""products""], ""columns"": [""msrp""], ""filters"": [], ""joins"": [], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming MSRP refers to the Manufacturer's Suggested Retail Price in a products table.""}"
Number of employees,Count,"[""employees""]",[],[],[],[],[],Assuming there is a table named 'employees' that contains employee records.,"{""intent"": ""Count"", ""tables"": [""employees""], ""columns"": [], ""filters"": [], ""joins"": [], ""group_by"": [], ""order_by"": [], ""notes"": ""Assuming there is a table named 'employees' that contains employee records.""}"
